iter	Logloss
0	0.5694363863
1	0.4883399938
2	0.4247082261
3	0.3739833061
4	0.3357475254
5	0.3092111078
6	0.2874347174
7	0.2696363905
8	0.2568554039
9	0.2462328535
10	0.237694302
11	0.231410466
12	0.2264633325
13	0.2231594584
14	0.2195801109
15	0.2169249919
16	0.2144735317
17	0.2126724346
18	0.2109033632
19	0.2094432152
20	0.2082258458
21	0.2071951117
22	0.2063208645
23	0.205750849
24	0.2051393135
25	0.2046334632
26	0.2041505641
27	0.2037634306
28	0.2033523138
29	0.2030419678
30	0.2027903337
31	0.2025738226
32	0.2023876406
33	0.2021658756
34	0.2018891921
35	0.2017465993
36	0.2015485016
37	0.2014334314
38	0.2012231594
39	0.2010992755
40	0.2009874826
41	0.200797829
42	0.2006864096
43	0.2005470548
44	0.2004496988
45	0.2002329558
46	0.2001390014
47	0.2000397722
48	0.1999745015
49	0.1999051649
50	0.199833309
51	0.1997486195
52	0.1996619096
53	0.1996044975
54	0.1995234899
55	0.1994511588
56	0.1993960421
57	0.1993532541
58	0.1993157806
59	0.1992757724
60	0.1991730712
61	0.1990883224
62	0.1990391689
63	0.1990004776
64	0.1989439029
65	0.198894069
66	0.1988436764
67	0.1987856401
68	0.1987476519
69	0.1986868727
70	0.1986452649
71	0.1985859271
72	0.1985489959
73	0.1985118383
74	0.1984573765
75	0.1984287924
76	0.1983967888
77	0.1983504421
78	0.1983003173
79	0.1982448583
80	0.1982008844
81	0.1981600099
82	0.1981410438
83	0.1980814077
84	0.1980813695
85	0.1980446304
86	0.1980097062
87	0.1979551652
88	0.1979160097
89	0.1978932127
90	0.197863514
91	0.1978289545
92	0.1977727234
93	0.1977211329
94	0.1976941713
95	0.1976705158
96	0.1976474119
97	0.197618406
98	0.1975895623
99	0.1975601892
100	0.1975281612
101	0.1975021122
102	0.1974581564
103	0.1974293479
104	0.1974274543
105	0.1973823468
106	0.1973530981
107	0.1973159622
108	0.1972844077
109	0.1972505554
110	0.197232542
111	0.1972102572
112	0.1971846643
113	0.197157865
114	0.1971338752
115	0.1971115759
116	0.1970778793
117	0.1970446423
118	0.1970134948
119	0.1969853835
120	0.1969645139
121	0.1969277678
122	0.1969003672
123	0.196881024
124	0.1968546854
125	0.1968248243
126	0.1968019712
127	0.1967689012
128	0.1967238609
129	0.1966967205
130	0.1966701661
131	0.1966320008
132	0.19660404
133	0.196583936
134	0.1965599816
135	0.1965250279
136	0.1964939599
137	0.1964597188
138	0.1964306698
139	0.1963967229
140	0.196374528
141	0.1963532032
142	0.1963428182
143	0.196320332
144	0.196302118
145	0.1962843986
146	0.1962620787
147	0.1962348229
148	0.19621624
149	0.1961970043
150	0.1961842654
151	0.1961585427
152	0.1961388818
153	0.1961242503
154	0.1961083524
155	0.1960862798
156	0.196055158
157	0.1960349152
158	0.1960191675
159	0.1959989327
160	0.195972397
161	0.195954335
162	0.195932906
163	0.1959076178
164	0.1958842564
165	0.1958670184
166	0.1958480797
167	0.1958238998
168	0.195796433
169	0.1957609459
170	0.1957413443
171	0.1957221527
172	0.1956974386
173	0.1956865578
