iter	Passed	Remaining
0	15	15931
1	26	13235
2	45	14973
3	61	15332
4	76	15265
5	93	15546
6	108	15411
7	122	15239
8	140	15473
9	154	15329
10	168	15112
11	186	15331
12	202	15356
13	211	14928
14	226	14866
15	242	14943
16	260	15057
17	273	14936
18	288	14910
19	301	14777
20	318	14868
21	335	14893
22	346	14726
23	361	14694
24	376	14693
25	393	14747
26	409	14755
27	427	14825
28	444	14868
29	460	14898
30	477	14940
31	493	14918
32	508	14889
33	521	14812
34	537	14816
35	553	14832
36	571	14863
37	586	14857
38	605	14908
39	622	14932
40	634	14849
41	653	14903
42	669	14906
43	687	14940
44	702	14905
45	718	14905
46	737	14954
47	753	14950
48	770	14953
49	784	14901
50	798	14855
51	814	14857
52	831	14864
53	847	14849
54	863	14844
55	882	14868
56	897	14840
57	909	14772
58	928	14806
59	945	14820
60	961	14797
61	976	14779
62	990	14726
63	1003	14682
64	1021	14696
65	1037	14684
66	1051	14636
67	1066	14611
68	1081	14586
69	1095	14560
70	1109	14520
71	1125	14507
72	1141	14500
73	1154	14441
74	1169	14423
75	1184	14403
76	1201	14404
77	1217	14387
78	1232	14365
79	1249	14365
80	1264	14347
81	1277	14304
82	1294	14301
83	1310	14294
84	1319	14204
85	1331	14154
86	1347	14143
87	1363	14134
88	1380	14131
89	1395	14107
90	1410	14087
91	1424	14060
92	1442	14068
93	1458	14057
94	1472	14027
95	1489	14027
96	1507	14037
97	1523	14020
98	1540	14018
99	1556	14004
100	1571	13990
101	1589	13991
102	1605	13978
103	1618	13943
104	1627	13874
105	1644	13866
106	1662	13874
107	1677	13854
108	1695	13858
109	1713	13863
110	1731	13866
111	1746	13849
112	1765	13858
113	1781	13843
114	1798	13839
115	1814	13823
116	1830	13812
117	1847	13808
118	1865	13810
119	1880	13788
120	1895	13771
121	1911	13758
122	1927	13742
123	1943	13730
124	1961	13731
125	1977	13720
126	1995	13719
127	2013	13717
128	2032	13723
129	2047	13700
130	2063	13688
131	2079	13676
132	2097	13669
133	2115	13671
134	2131	13657
135	2149	13653
136	2166	13644
137	2180	13617
138	2196	13605
139	2212	13590
140	2229	13585
141	2247	13581
142	2265	13575
143	2283	13574
144	2300	13564
145	2316	13552
146	2333	13540
147	2348	13517
148	2364	13506
149	2381	13493
150	2398	13483
151	2415	13476
152	2433	13472
153	2451	13466
154	2468	13458
155	2489	13467
156	2505	13452
157	2523	13448
158	2541	13442
159	2560	13443
160	2577	13432
161	2594	13419
162	2611	13410
163	2629	13405
164	2647	13400
165	2665	13393
166	2684	13392
167	2703	13390
168	2721	13380
169	2737	13365
170	2756	13365
171	2773	13353
172	2793	13353
173	2811	13346
174	2828	13335
175	2845	13324
176	2864	13317
177	2880	13303
178	2899	13299
179	2919	13298
180	2940	13307
181	2957	13291
182	2974	13279
183	2994	13277
184	3012	13270
185	3032	13272
186	3052	13270
187	3070	13262
188	3090	13259
189	3108	13252
190	3125	13238
191	3141	13219
192	3158	13208
193	3174	13190
194	3192	13179
195	3208	13160
196	3223	13141
197	3238	13117
198	3251	13089
199	3267	13069
200	3282	13049
201	3297	13027
202	3315	13015
203	3331	13000
204	3349	12990
205	3366	12975
206	3383	12962
207	3398	12941
208	3413	12918
209	3427	12894
210	3441	12870
211	3457	12850
212	3470	12823
213	3488	12813
214	3506	12801
215	3523	12790
216	3539	12770
217	3554	12751
218	3570	12733
219	3586	12715
220	3603	12702
221	3619	12683
222	3636	12672
223	3654	12658
224	3672	12648
225	3689	12634
226	3706	12620
227	3723	12609
228	3740	12592
229	3757	12577
230	3773	12560
231	3788	12540
232	3802	12518
233	3820	12505
234	3833	12477
235	3847	12457
236	3863	12438
237	3877	12414
238	3892	12395
239	3907	12373
240	3926	12365
241	3941	12346
242	3957	12328
243	3974	12315
244	3989	12293
245	4005	12275
246	4020	12255
247	4035	12236
248	4051	12221
249	4069	12208
250	4084	12187
251	4100	12171
252	4114	12147
253	4139	12157
254	4161	12158
255	4180	12148
256	4194	12126
257	4209	12105
258	4225	12090
259	4242	12074
260	4259	12060
261	4275	12043
262	4292	12028
263	4312	12022
264	4331	12013
265	4346	11994
266	4365	11985
267	4384	11974
268	4399	11955
269	4416	11939
270	4434	11929
271	4453	11920
272	4472	11910
273	4489	11895
274	4505	11877
275	4523	11864
276	4541	11853
277	4560	11843
278	4579	11833
279	4598	11824
280	4617	11814
281	4638	11808
282	4655	11795
283	4672	11780
284	4689	11766
285	4707	11752
286	4722	11731
287	4740	11720
288	4761	11714
289	4781	11706
290	4800	11694
291	4818	11683
292	4837	11672
293	4854	11658
294	4876	11652
295	4898	11651
296	4923	11654
297	4944	11648
298	4965	11640
299	4982	11626
300	5004	11622
301	5022	11609
302	5042	11599
303	5066	11600
304	5088	11594
305	5106	11581
306	5130	11581
307	5151	11573
308	5172	11566
309	5189	11550
310	5206	11534
311	5225	11523
312	5243	11509
313	5260	11493
314	5279	11481
315	5297	11467
316	5315	11453
317	5332	11435
318	5351	11423
319	5369	11409
320	5388	11399
321	5407	11386
322	5425	11371
323	5443	11358
324	5461	11343
325	5481	11333
326	5501	11321
327	5519	11307
328	5539	11298
329	5559	11288
330	5577	11273
331	5595	11259
332	5612	11241
333	5634	11234
334	5663	11241
335	5685	11234
336	5707	11229
337	5727	11217
338	5744	11201
339	5763	11188
340	5782	11174
341	5802	11164
342	5820	11149
343	5838	11134
344	5857	11121
345	5877	11109
346	5894	11092
347	5916	11084
348	5937	11075
349	5956	11062
350	5975	11049
351	5995	11037
352	6012	11020
353	6032	11008
354	6052	10996
355	6071	10983
356	6088	10966
357	6107	10952
358	6126	10938
359	6142	10919
360	6158	10901
361	6175	10884
362	6194	10869
363	6212	10854
364	6228	10836
365	6244	10816
366	6261	10799
367	6278	10783
368	6296	10766
369	6313	10749
370	6329	10731
371	6346	10714
372	6363	10697
373	6381	10681
374	6399	10665
375	6416	10648
376	6434	10632
377	6450	10614
378	6468	10598
379	6487	10584
380	6505	10569
381	6523	10552
382	6540	10535
383	6558	10520
384	6575	10503
385	6592	10487
386	6610	10470
387	6629	10456
388	6648	10443
389	6667	10428
390	6684	10411
391	6703	10397
392	6722	10383
393	6740	10367
394	6759	10353
395	6777	10337
396	6796	10323
397	6812	10304
398	6830	10288
399	6848	10272
400	6864	10254
401	6884	10240
402	6902	10224
403	6922	10212
404	6941	10198
405	6960	10183
406	6977	10165
407	6996	10151
408	7011	10132
409	7030	10117
410	7048	10101
411	7066	10084
412	7083	10067
413	7101	10051
414	7119	10035
415	7135	10016
416	7154	10002
417	7172	9986
418	7191	9971
419	7209	9955
420	7227	9939
421	7245	9923
422	7261	9905
423	7281	9891
424	7296	9871
425	7314	9856
426	7334	9842
427	7352	9825
428	7371	9812
429	7388	9794
430	7406	9778
431	7422	9759
432	7439	9742
433	7454	9722
434	7471	9704
435	7489	9687
436	7508	9673
437	7526	9657
438	7544	9641
439	7560	9623
440	7584	9613
441	7609	9606
442	7629	9592
443	7650	9580
444	7671	9568
445	7696	9560
446	7715	9544
447	7734	9529
448	7753	9515
449	7771	9497
450	7788	9480
451	7804	9461
452	7824	9448
453	7845	9435
454	7867	9424
455	7888	9411
456	7910	9399
457	7932	9387
458	7955	9376
459	7976	9364
460	8002	9356
461	8025	9345
462	8047	9334
463	8081	9335
464	8106	9327
465	8130	9316
466	8155	9308
467	8178	9296
468	8201	9285
469	8224	9274
470	8245	9260
471	8266	9247
472	8287	9233
473	8306	9217
474	8327	9204
475	8349	9191
476	8371	9178
477	8389	9162
478	8411	9148
479	8432	9134
480	8455	9123
481	8477	9110
482	8501	9099
483	8524	9087
484	8544	9073
485	8566	9060
486	8588	9047
487	8609	9032
488	8627	9016
489	8647	9000
490	8665	8982
491	8682	8964
492	8703	8950
493	8723	8935
494	8743	8919
495	8765	8906
496	8785	8891
497	8802	8873
498	8820	8855
499	8839	8839
500	8856	8821
501	8875	8804
502	8893	8787
503	8912	8770
504	8929	8753
505	8948	8736
506	8967	8720
507	8987	8704
508	9011	8692
509	9029	8675
510	9046	8656
511	9064	8640
512	9084	8624
513	9102	8606
514	9119	8587
515	9136	8570
516	9154	8552
517	9173	8535
518	9190	8517
519	9207	8499
520	9227	8483
521	9246	8466
522	9265	8450
523	9292	8441
524	9315	8427
525	9339	8416
526	9359	8400
527	9375	8381
528	9393	8363
529	9414	8348
530	9432	8330
531	9451	8314
532	9470	8298
533	9490	8282
534	9510	8265
535	9529	8249
536	9548	8232
537	9570	8218
538	9591	8203
539	9612	8188
540	9637	8176
541	9680	8180
542	9713	8175
543	9738	8163
544	9763	8151
545	9785	8136
546	9807	8122
547	9828	8106
548	9850	8092
549	9868	8074
550	9896	8064
551	9922	8053
552	9947	8040
553	9969	8025
554	9992	8012
555	10023	8004
556	10052	7994
557	10082	7986
558	10107	7973
559	10130	7959
560	10154	7946
561	10178	7932
562	10201	7918
563	10223	7903
564	10244	7887
565	10268	7873
566	10287	7856
567	10311	7842
568	10334	7827
569	10362	7817
570	10386	7803
571	10409	7788
572	10432	7774
573	10459	7762
574	10487	7751
575	10509	7736
576	10533	7722
577	10552	7704
578	10571	7687
579	10596	7673
580	10615	7655
581	10632	7636
582	10651	7618
583	10670	7600
584	10688	7582
585	10711	7567
586	10729	7549
587	10756	7536
588	10783	7524
589	10810	7512
590	10836	7499
591	10862	7486
592	10887	7472
593	10910	7457
594	10931	7441
595	10955	7425
596	10978	7410
597	11030	7414
598	11070	7411
599	11107	7404
600	11140	7396
601	11167	7383
602	11192	7369
603	11216	7353
604	11238	7337
605	11256	7318
606	11274	7299
607	11295	7282
608	11313	7263
609	11330	7244
610	11348	7225
611	11366	7206
612	11387	7188
613	11403	7168
614	11420	7149
615	11437	7129
616	11454	7110
617	11473	7092
618	11493	7074
619	11511	7055
620	11528	7035
621	11545	7016
622	11563	6997
623	11582	6979
624	11600	6960
625	11616	6940
626	11633	6920
627	11649	6900
628	11668	6882
629	11686	6863
630	11703	6844
631	11719	6824
632	11739	6806
633	11763	6790
634	11786	6774
635	11816	6762
636	11847	6751
637	11870	6735
638	11892	6718
639	11911	6700
640	11930	6681
641	11950	6663
642	11969	6645
643	11989	6627
644	12008	6609
645	12027	6590
646	12045	6572
647	12064	6553
648	12084	6535
649	12102	6516
650	12120	6497
651	12140	6479
652	12161	6462
653	12182	6445
654	12198	6425
655	12216	6406
656	12237	6388
657	12259	6372
658	12385	6408
659	12406	6391
660	12426	6373
661	12446	6354
662	12463	6335
663	12484	6317
664	12501	6297
665	12517	6277
666	12534	6257
667	12551	6238
668	12570	6219
669	12589	6200
670	12606	6181
671	12623	6161
672	12637	6140
673	12652	6119
674	12668	6099
675	12687	6081
676	12703	6060
677	12720	6041
678	12736	6021
679	12753	6001
680	12773	5983
681	12793	5965
682	12811	5945
683	12827	5926
684	12844	5906
685	12863	5888
686	12882	5869
687	12899	5849
688	12916	5830
689	12934	5810
690	12948	5790
691	12963	5769
692	12978	5749
693	12995	5729
694	13011	5710
695	13029	5690
696	13047	5672
697	13065	5652
698	13082	5633
699	13099	5613
700	13116	5594
701	13132	5574
702	13148	5555
703	13165	5535
704	13182	5516
705	13199	5496
706	13216	5477
707	13232	5457
708	13251	5438
709	13268	5419
710	13288	5401
711	13305	5382
712	13324	5363
713	13341	5343
714	13357	5324
715	13375	5305
716	13394	5286
717	13408	5266
718	13424	5246
719	13441	5227
720	13458	5207
721	13473	5187
722	13490	5168
723	13505	5148
724	13521	5128
725	13536	5109
726	13552	5089
727	13567	5069
728	13586	5050
729	13603	5031
730	13620	5012
731	13633	4991
732	13651	4972
733	13670	4954
734	13688	4935
735	13703	4915
736	13723	4897
737	13741	4878
738	13760	4860
739	13779	4841
740	13797	4822
741	13814	4803
742	13832	4784
743	13852	4766
744	13871	4748
745	13889	4728
746	13905	4709
747	13922	4690
748	13937	4670
749	13956	4652
750	13976	4634
751	13994	4615
752	14014	4596
753	14035	4579
754	14060	4562
755	14083	4545
756	14107	4528
757	14131	4511
758	14156	4494
759	14179	4477
760	14200	4459
761	14221	4441
762	14244	4424
763	14263	4405
764	14281	4387
765	14301	4368
766	14321	4350
767	14342	4332
768	14361	4314
769	14381	4295
770	14403	4278
771	14424	4260
772	14445	4242
773	14465	4223
774	14481	4204
775	14496	4184
776	14513	4165
777	14530	4146
778	14546	4126
779	14565	4108
780	14586	4090
781	14604	4071
782	14622	4052
783	14641	4033
784	14660	4015
785	14678	3996
786	14697	3977
787	14716	3959
788	14734	3940
789	14753	3921
790	14773	3903
791	14791	3884
792	14810	3865
793	14825	3846
794	14843	3827
795	14859	3808
796	14875	3788
797	14892	3769
798	14909	3750
799	14925	3731
800	14942	3712
801	14959	3693
802	14978	3674
803	14996	3655
804	15017	3637
805	15035	3619
806	15054	3600
807	15073	3581
808	15090	3562
809	15107	3543
810	15125	3524
811	15142	3505
812	15160	3487
813	15176	3467
814	15194	3449
815	15210	3429
816	15228	3410
817	15246	3392
818	15265	3373
819	15284	3355
820	15303	3336
821	15323	3318
822	15340	3299
823	15359	3280
824	15378	3262
825	15396	3243
826	15414	3224
827	15432	3205
828	15450	3187
829	15470	3168
830	15487	3149
831	15506	3131
832	15520	3111
833	15535	3092
834	15551	3073
835	15566	3053
836	15582	3034
837	15598	3015
838	15614	2996
839	15631	2977
840	15647	2958
841	15664	2939
842	15681	2920
843	15702	2902
844	15725	2884
845	15745	2866
846	15763	2847
847	15786	2829
848	15804	2810
849	15820	2791
850	15836	2772
851	15851	2753
852	15867	2734
853	15884	2715
854	15899	2696
855	15916	2677
856	15932	2658
857	15949	2639
858	15966	2620
859	15983	2601
860	15998	2582
861	16014	2563
862	16030	2544
863	16047	2525
864	16061	2506
865	16075	2487
866	16091	2468
867	16106	2449
868	16122	2430
869	16137	2411
870	16153	2392
871	16170	2373
872	16186	2354
873	16202	2335
874	16218	2316
875	16234	2298
876	16250	2279
877	16265	2260
878	16282	2241
879	16298	2222
880	16315	2203
881	16332	2185
882	16349	2166
883	16367	2147
884	16383	2128
885	16399	2110
886	16415	2091
887	16432	2072
888	16448	2053
889	16463	2034
890	16480	2016
891	16496	1997
892	16512	1978
893	16527	1959
894	16544	1940
895	16559	1922
896	16575	1903
897	16592	1884
898	16608	1865
899	16626	1847
900	16643	1828
901	16659	1809
902	16675	1791
903	16694	1772
904	16711	1754
905	16728	1735
906	16744	1716
907	16761	1698
908	16777	1679
909	16793	1660
910	16810	1642
911	16826	1623
912	16843	1604
913	16859	1586
914	16874	1567
915	16891	1549
916	16909	1530
917	16925	1511
918	16942	1493
919	16958	1474
920	16974	1456
921	16990	1437
922	17008	1418
923	17024	1400
924	17042	1381
925	17058	1363
926	17074	1344
927	17092	1326
928	17108	1307
929	17126	1289
930	17144	1270
931	17162	1252
932	17179	1233
933	17198	1215
934	17216	1196
935	17234	1178
936	17250	1159
937	17265	1141
938	17283	1122
939	17298	1104
940	17314	1085
941	17331	1067
942	17347	1048
943	17363	1030
944	17380	1011
945	17397	993
946	17414	974
947	17431	956
948	17448	937
949	17464	919
950	17480	900
951	17495	882
952	17512	863
953	17528	845
954	17545	826
955	17562	808
956	17579	789
957	17595	771
958	17612	752
959	17628	734
960	17644	716
961	17660	697
962	17676	679
963	17692	660
964	17709	642
965	17729	624
966	17749	605
967	17767	587
968	17782	568
969	17798	550
970	17815	532
971	17831	513
972	17846	495
973	17862	476
974	17878	458
975	17892	439
976	17910	421
977	17926	403
978	17942	384
979	17956	366
980	17972	348
981	17988	329
982	18005	311
983	18023	293
984	18039	274
985	18054	256
986	18071	238
987	18089	219
988	18105	201
989	18122	183
990	18138	164
991	18154	146
992	18172	128
993	18188	109
994	18207	91
995	18225	73
996	18249	54
997	18268	36
998	18286	18
999	18304	0
